filename,orgname,label
bluse.00100.wav,ES_Laughin' No More - Will Harrison.wav,bluse
bluse.00101.wav,ES_Lazy Days Ahead - Heyday Highway.wav,bluse
bluse.00102.wav,ES_Lazy Picking - Mid Knight.wav,bluse
bluse.00103.wav,ES_Leather Feather - Lennon Hutton.wav,bluse
bluse.00104.wav,ES_Let's Dance - Jett Everill.wav,bluse
bluse.00105.wav,ES_Let's Waste Some Time - Chester Malone.wav,bluse
bluse.00106.wav,ES_Long Long Stride - Peter Crosby.wav,bluse
bluse.00107.wav,ES_Love Language - Peter Crosby.wav,bluse
bluse.00108.wav,ES_Makin' Shapes - The Elloquent Jims.wav,bluse
bluse.00109.wav,ES_Marble Falls - Chris Shards.wav,bluse
bluse.00110.wav,ES_Meet You Back Home - The Tap Room.wav,bluse
bluse.00111.wav,ES_Miles & Miles - Will Harrison.wav,bluse
bluse.00112.wav,ES_Mississippi Rag - Roy Edwin Williams.wav,bluse
bluse.00113.wav,ES_Momma's Gumbo - Will Harrison.wav,bluse
bluse.00114.wav,ES_Morning Blues - Franz Gordon.wav,bluse
bluse.00115.wav,ES_Mr Ranger - The Tap Room.wav,bluse
bluse.00116.wav,ES_My Intuition - My My Snake Eyes.wav,bluse
bluse.00117.wav,ES_Never Gonna Sleep Again - The Elloquent Jims.wav,bluse
bluse.00118.wav,ES_New Old Town Blues - Bo the Drifter.wav,bluse
bluse.00119.wav,ES_Next Stop the Big Onion - Chester Malone.wav,bluse
bluse.00120.wav,ES_No Future - Will Harrison.wav,bluse
bluse.00121.wav,ES_Nothin' Left Blues - Peter Crosby.wav,bluse
bluse.00122.wav,ES_On A Roll - John T. Graham.wav,bluse
bluse.00123.wav,ES_On the Trail - Tigerblood Jewel.wav,bluse
bluse.00124.wav,ES_Open Road - Chester Malone.wav,bluse
bluse.00125.wav,ES_Poky Alley - Christian Andersen.wav,bluse
bluse.00126.wav,ES_Pop's Don't Lie - Peter Crosby.wav,bluse
bluse.00127.wav,ES_Printers Alley - Roots and Recognition.wav,bluse
bluse.00128.wav,ES_Radio to Tower - American Legion.wav,bluse
bluse.00129.wav,ES_Rain Quail - Dust Follows.wav,bluse
bluse.00130.wav,ES_Reluctant Soldier - Will Harrison.wav,bluse
bluse.00131.wav,ES_Revolt for Change - Ebo Krdum.wav,bluse
bluse.00132.wav,ES_Rolling Up My Window - Jett Everill.wav,bluse
bluse.00133.wav,ES_Runaway Train - The Elloquent Jims.wav,bluse
bluse.00134.wav,ES_Rust on the Tracks - Peter Crosby.wav,bluse
bluse.00135.wav,ES_Save My Soul - Fasion.wav,bluse
bluse.00136.wav,ES_Share the Wealth - Will Harrison.wav,bluse
bluse.00137.wav,ES_She Don't Like Me No Mo' - Peter Crosby.wav,bluse
bluse.00138.wav,ES_Shuffle and Dime - Lindsey Abraham (1).wav,bluse
bluse.00139.wav,ES_Shuffle and Dime - Lindsey Abraham.wav,bluse
bluse.00140.wav,ES_Sick Man's Blues - Peter Crosby.wav,bluse
bluse.00141.wav,ES_Slow Day Blues - Heyday Highway.wav,bluse
bluse.00142.wav,ES_Slow Down Billy - John and the Land of Plenty.wav,bluse
bluse.00143.wav,ES_Smile on Down on Me - Peter Crosby.wav,bluse
bluse.00144.wav,ES_Snoozy Sue - Mid Knight.wav,bluse
bluse.00145.wav,ES_Some Bangkok Regrets - Christian Andersen.wav,bluse
bluse.00146.wav,ES_Soul Slappin' - The Elloquent Jims.wav,bluse
bluse.00147.wav,ES_Spice of Life - Nicky Dowling.wav,bluse
bluse.00148.wav,ES_Stomp! Stomp! Stomp! - Martin Landstrom (1).wav,bluse
bluse.00149.wav,ES_Stomp! Stomp! Stomp! - Martin Landstrom.wav,bluse
bluse.00150.wav,ES_Stride Till I Die - Will Harrison.wav,bluse
bluse.00151.wav,ES_Summertime Forgets - Mid Knight.wav,bluse
bluse.00152.wav,ES_Sunny Blues - Will Harrison.wav,bluse
bluse.00153.wav,ES_Suppertime Blues - Will Harrison.wav,bluse
bluse.00154.wav,ES_Take Away the Blues - Franz Gordon.wav,bluse
bluse.00155.wav,ES_Talk Back - Elliot Holmes.wav,bluse
bluse.00156.wav,ES_Tennessee RailRoad Blues - Bo the Drifter.wav,bluse
bluse.00157.wav,ES_Tenor Guitar Blues - Roy Edwin Williams.wav,bluse
bluse.00158.wav,ES_That Impossible Last Breath - Da Sein.wav,bluse
bluse.00159.wav,ES_The Bayou - Tigerblood Jewel.wav,bluse
bluse.00160.wav,ES_The Blues This Morning - The Tap Room.wav,bluse
bluse.00161.wav,ES_The Brew - Chris Shards.wav,bluse
bluse.00162.wav,ES_The Crossroads - Lindsey Abraham.wav,bluse
bluse.00163.wav,ES_The Grim Reaper - Roof.wav,bluse
bluse.00164.wav,ES_The Long Days Are Over - Mid Knight.wav,bluse
bluse.00165.wav,ES_The Mission - J.F. Gloss.wav,bluse
bluse.00166.wav,ES_The New Southern Jelly Roll Blues - Bo the Drifter.wav,bluse
bluse.00167.wav,ES_The Path - J.F. Gloss.wav,bluse
bluse.00168.wav,ES_The River's Wide - Will Harrison.wav,bluse
bluse.00169.wav,ES_The Set Back - Roots and Recognition.wav,bluse
bluse.00170.wav,ES_The Vessel - Hara Noda.wav,bluse
bluse.00171.wav,ES_The Wretched - Ebo Krdum.wav,bluse
bluse.00172.wav,ES_This Time I'll Let It Slide - Christian Andersen.wav,bluse
bluse.00173.wav,ES_Tin Can Boil - Scott Panther.wav,bluse
bluse.00174.wav,ES_Tired of You Being Tired of Me - Chester Malone.wav,bluse
bluse.00175.wav,ES_Train to the West - Ebo Krdum.wav,bluse
bluse.00176.wav,ES_Trouble Stay from My Door - Roy Williams.wav,bluse
bluse.00177.wav,ES_Turn Over - The Tap Room.wav,bluse
bluse.00178.wav,ES_Under the Big Blue Sky - Will Harrison.wav,bluse
bluse.00179.wav,ES_Underwater Junkyard - T. Morri.wav,bluse
bluse.00180.wav,ES_Unmasked - Will Harrison.wav,bluse
bluse.00181.wav,ES_Up and at Them - Will Harrison.wav,bluse
bluse.00182.wav,ES_Valentines Blues - John Runefelt.wav,bluse
bluse.00183.wav,ES_Vargtimmen - Da Sein.wav,bluse
bluse.00184.wav,ES_Victims of Regimes - Ebo Krdum.wav,bluse
bluse.00185.wav,ES_Walkin - The Furthermores.wav,bluse
bluse.00186.wav,ES_Walkin' With the Eagle - Pip Mondy.wav,bluse
bluse.00187.wav,ES_Walking Back Home - J.F. Gloss.wav,bluse
bluse.00188.wav,ES_Walking My Baby Home - J.F. Gloss.wav,bluse
bluse.00189.wav,ES_Wandering Blues - Mid Knight.wav,bluse
bluse.00190.wav,ES_Watcha Gon' Do - Chris Shards.wav,bluse
bluse.00191.wav,ES_Wellspring - Hara Noda.wav,bluse
bluse.00192.wav,ES_Whiskey Jam - John and the Land of Plenty.wav,bluse
bluse.00193.wav,ES_Why I Sing the Blues - Chester Malone.wav,bluse
bluse.00194.wav,ES_Wild Slide - Jules Gaia.wav,bluse
bluse.00195.wav,ES_Windy City - Chester Malone.wav,bluse
bluse.00196.wav,ES_World's Got Me Down - Will Harrison.wav,bluse
bluse.00197.wav,ES_You Need My Love - My My Snake Eyes.wav,bluse
bluse.00198.wav,ES_You Rock My World - Jett Everill.wav,bluse
bluse.00199.wav,ES_You Slow Me Down - River Foxcroft.wav,bluse
