filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
country.00100.wav,661500,0.385233,0.07895,0.228701,0.003686,1612.673,414049.7,2105.55,271852.1,3664.703,2308129,0.050404,0.000727,2.82E-06,0.042883,-4.07E-05,0.003829,107.666,-93.0904,3113.302,109.784,843.4262,-0.78688,192.0822,50.026,118.1183,18.03461,48.5186,18.7456,61.14362,4.028669,41.11787,9.043558,43.98791,3.787719,33.95893,0.136158,38.24292,-7.4621,39.7884,4.146562,38.42337,0.193695,36.8343,2.847229,31.01478,-5.22067,35.19379,-3.20724,43.88458,-2.69246,35.91451,3.530869,34.14971,-0.95773,41.01288,1.462692,43.61558,country
country.00101.wav,661500,0.287469,0.085605,0.253482,0.004628,1635.257,156392.1,1968.262,174110.2,3407.688,1249508,0.067342,0.00035,-2.80E-06,0.047916,7.91E-05,0.008877,143.5547,-68.5747,3574.518,120.4871,461.6994,-16.3218,263.096,27.05863,96.18254,1.701994,121.9487,15.49931,83.43337,-3.13489,64.7555,1.215553,82.44675,3.131949,62.93986,15.19822,92.83514,7.64031,58.39914,10.8932,67.30024,2.947777,75.90784,3.311827,80.65833,-0.02145,74.53587,4.431737,55.81212,-6.78679,47.15641,-3.37778,35.55423,-4.46831,61.49899,4.355031,57.20078,country
country.00102.wav,661500,0.360473,0.088224,0.157706,0.002692,1964.336,582662,2226.951,165803.2,4291.399,2259234,0.081382,0.004429,5.59E-07,0.020489,-4.81E-07,0.00293,129.1992,-120.265,7577.745,95.0995,681.5092,-8.85612,221.5743,37.52264,200.104,8.853211,120.2954,23.5988,103.6699,-1.8692,106.2227,6.885163,87.11736,-7.77388,100.5407,-0.87448,72.86251,-5.21389,56.97804,4.551812,65.323,-0.12806,66.31432,-2.81679,57.42755,-11.1516,68.32983,0.764674,69.50416,0.525773,68.66173,4.565435,54.46204,-4.76764,76.43861,-0.42321,78.57834,country
country.00103.wav,661500,0.285415,0.095194,0.205355,0.004166,904.1211,180056,1428.084,208364,1655.198,1063635,0.03483,0.000533,0.000139,0.035094,-0.00017,0.003657,112.3471,-202.609,6305.178,146.3862,897.7681,14.47091,327.7926,35.27032,144.6979,8.753598,128.3374,3.555241,70.05316,3.248855,117.2735,12.44614,65.38507,-2.83061,79.9318,-0.25656,54.90317,-7.64642,68.21769,-8.26291,57.83555,-8.22765,45.89604,-10.9615,48.66288,-9.13257,62.22129,-4.64481,77.74017,-7.04312,52.94456,-6.98461,89.07958,-11.0185,85.45693,-6.68464,127.2801,country
country.00104.wav,661500,0.327063,0.087234,0.231033,0.006844,1273.596,140837.8,1525.35,114746.8,2562.001,711496.5,0.059881,0.000947,-3.55E-05,0.049097,2.32E-05,0.002569,99.38401,-111.525,4134.752,148.8844,800.8862,-30.6758,257.3457,34.4166,158.849,-2.89276,115.9514,11.63577,136.609,3.97808,83.2281,4.71016,73.51984,-1.87087,60.20401,8.257751,47.23854,2.547232,66.47691,-0.72866,60.25684,-6.86699,58.57717,-1.37087,27.02064,-2.15359,39.6134,-3.71079,36.74884,-9.40597,40.23274,-3.27582,34.60826,-8.83104,35.93277,-11.1059,38.70559,country
country.00105.wav,661500,0.264308,0.099113,0.162497,0.003235,802.8922,211211.6,1404.008,275828.6,1468.441,1629091,0.023664,0.000234,-2.14E-06,0.023423,-3.32E-05,0.002063,161.499,-264.759,6247.337,131.0739,548.6924,24.13667,358.1241,42.87822,132.4921,18.48015,198.8499,5.85471,97.36239,9.59872,74.53642,19.11218,84.29336,8.424027,102.1613,1.917324,96.46333,-6.5572,82.43128,-8.54971,50.85118,-6.35355,54.34995,-8.38267,48.94378,-13.4432,41.82448,-9.89596,50.44905,-5.88767,46.06086,-7.22251,59.11679,-14.2514,45.99466,-10.9032,51.97565,country
country.00106.wav,661500,0.30153,0.088856,0.164567,0.003548,1824.625,568774.2,2354.168,254123.6,4232.616,3454336,0.060193,0.001697,6.15E-07,0.023072,1.02E-06,0.002584,129.1992,-136.865,3643.133,96.87854,849.88,21.91026,191.1878,44.9667,126.0453,6.103162,96.55338,9.478889,74.69948,-3.55833,67.26551,1.924469,74.02789,-7.85841,70.15321,-1.09872,57.2631,-5.56347,54.53415,-4.0886,40.0725,-11.1769,45.19672,-5.86385,33.90451,-8.63321,31.05347,-1.74764,64.21307,-5.13698,74.13492,-1.11233,74.91055,-5.48601,48.57494,-1.38557,47.99626,country
country.00107.wav,661500,0.334581,0.08765,0.16897,0.004537,1237.947,515489.8,1644.312,355270.1,2303.578,2401689,0.053078,0.001546,-8.64E-05,0.02292,-0.00036,0.004388,161.499,-158.269,8209.775,158.3559,1574.199,-1.85584,344.4645,11.64122,186.7338,8.859339,324.6297,5.247674,124.6152,3.19422,103.4696,5.37026,126.5785,-5.7862,83.33087,3.26082,59.75549,-2.25297,84.61687,4.775587,63.0297,4.639921,67.72553,-1.81195,55.91601,-1.42834,103.9749,1.266273,71.19402,-7.18505,53.86478,0.109704,85.71802,0.541762,63.43798,6.809262,61.79718,country
country.00108.wav,661500,0.350962,0.095464,0.177068,0.007617,1745.5,579918,2227.688,274440.9,3944.243,3208071,0.059196,0.001826,6.54E-07,0.028772,-0.00019,0.004298,99.38401,-140.773,6002.84,101.0495,804.9439,12.80632,316.9706,42.52647,352.2273,6.82532,102.1555,10.96068,111.1728,-12.3031,208.1907,-6.42548,170.594,-7.61427,104.3655,-0.05707,80.46589,-6.02727,82.05579,-0.03283,57.47456,-5.21177,70.99244,-6.34075,96.24039,-12.2817,68.28237,-3.944,52.11079,-2.26144,56.26885,2.980222,55.45458,0.127818,75.08488,-0.69099,62.33628,country
country.00109.wav,661500,0.354022,0.088007,0.185311,0.001795,1447.055,311869.6,1882.42,199835.2,2939.041,1955446,0.058938,0.001101,-7.31E-06,0.029756,-6.83E-06,0.00244,99.38401,-126.32,3080.384,125.1594,854.4323,-6.83503,298.2979,31.42902,186.8191,11.96649,101.5752,20.03106,88.78853,-0.50491,60.81657,3.464367,74.96962,-1.40607,68.40224,1.456676,45.22528,-5.71287,96.43519,1.569181,80.72486,-2.92324,67.43967,-0.32117,71.42867,-3.20929,102.5814,0.802534,45.35012,-4.10082,41.78938,-2.09845,61.01915,-6.12336,93.31252,-4.98209,44.39871,country
