filename,orgname,label
disco.00100.wav,ES_Kvarnbole - spring gang.wav,disco
disco.00101.wav,ES_Le Club - Rymdklang Soundtracks.wav,disco
disco.00102.wav,ES_Let Me Get to Know You - Siine.wav,disco
disco.00103.wav,ES_Let Me Groove - Neon One.wav,disco
disco.00104.wav,ES_Let's Come Together - spring gang.wav,disco
disco.00105.wav,ES_Light Wave - DJ Eely.wav,disco
disco.00106.wav,ES_Love for the Rest - Water Mirrors.wav,disco
disco.00107.wav,ES_Love Jam - Gloria Tells.wav,disco
disco.00108.wav,ES_Love Supreme - Particle House.wav,disco
disco.00109.wav,ES_Maiden Voyage - Duke Herrington.wav,disco
disco.00110.wav,ES_Make You Mine - NIGHTCAP.wav,disco
disco.00111.wav,ES_Mambo - Harvio.wav,disco
disco.00112.wav,ES_Miami Ice - Jojo Avery.wav,disco
disco.00113.wav,ES_Midnight Disco - Cushy.wav,disco
disco.00114.wav,ES_Midnight Specials - Ash Nino.wav,disco
disco.00115.wav,ES_Mission Superstition - Glove Box.wav,disco
disco.00116.wav,ES_Moon and Tide - Particle House.wav,disco
disco.00117.wav,ES_Moonlight Neon - Neon One.wav,disco
disco.00118.wav,ES_Move Me Tonight - Scoobadive.wav,disco
disco.00119.wav,ES_My Dancing Shoes - Neon One.wav,disco
disco.00120.wav,ES_Nalen - Harvio.wav,disco
disco.00121.wav,ES_Need It - Duckmaw.wav,disco
disco.00122.wav,ES_Neon Lightning - Jojo Avery.wav,disco
disco.00123.wav,ES_Never Stop Dancing - Andreas Boldt.wav,disco
disco.00124.wav,ES_Nice Cream - OTE.wav,disco
disco.00125.wav,ES_Nobody Like You - Wildson.wav,disco
disco.00126.wav,ES_One Horned Rhino - Ceen.wav,disco
disco.00127.wav,ES_perfect smile - Paisley Pink.wav,disco
disco.00128.wav,ES_Purple Summer - Harvio.wav,disco
disco.00129.wav,ES_Real Easy - Park Lane.wav,disco
disco.00130.wav,ES_Resting Quality - Brookii.wav,disco
disco.00131.wav,ES_Returning to Her - The New Fools.wav,disco
disco.00132.wav,ES_Ride with You - spring gang.wav,disco
disco.00133.wav,ES_Riding through the Darkness - OTE.wav,disco
disco.00134.wav,ES_Rooftop Disco - Heyson.wav,disco
disco.00135.wav,ES_Rumor - Mike Parr.wav,disco
disco.00136.wav,ES_Run Boy Run - Snake City.wav,disco
disco.00137.wav,ES_Segersta - spring gang.wav,disco
disco.00138.wav,ES_Seize It - Tape Machines.wav,disco
disco.00139.wav,ES_Shark Disco - Elliot Holmes.wav,disco
disco.00140.wav,ES_She's a Heartbreaker - Deanz.wav,disco
disco.00141.wav,ES_Slam Dunk Funk - Duckmaw.wav,disco
disco.00142.wav,ES_Smash - Lupus Nocte.wav,disco
disco.00143.wav,ES_So Slick - Wanda Shakes.wav,disco
disco.00144.wav,ES_Someone New - Lupus Nocte.wav,disco
disco.00145.wav,ES_Something Crazy - Particle House.wav,disco
disco.00146.wav,ES_Sparklin' - Andreas Boldt.wav,disco
disco.00147.wav,ES_Stay With the Enemy - MNDLSS.wav,disco
disco.00148.wav,ES_Steam - spring gang.wav,disco
disco.00149.wav,ES_Str8 Up - Scoobadive.wav,disco
disco.00150.wav,ES_Straight Up (Get Down) - Wildson.wav,disco
disco.00151.wav,ES_Sweet Summer Love - Rocket Jr.wav,disco
disco.00152.wav,ES_Take It Away - White Bones.wav,disco
disco.00153.wav,ES_Taste the Sun - Particle House.wav,disco
disco.00154.wav,ES_Technological Breakdown - Wanda Shakes.wav,disco
disco.00155.wav,ES_Tell It Like It Is - Glove Box.wav,disco
disco.00156.wav,ES_The Balloon Song (Lift up My Soul) - West & Zander.wav,disco
disco.00157.wav,ES_The Beat Is Gonna Set You Free - Duckmaw.wav,disco
disco.00158.wav,ES_The Disco Frog - Rymdklang Soundtracks.wav,disco
disco.00159.wav,ES_The Juggler - Ch@ntarelle.wav,disco
disco.00160.wav,ES_The Kill - Particle House.wav,disco
disco.00161.wav,ES_The Time Is on Our Side - spring gang.wav,disco
disco.00162.wav,ES_They Called Her Cinnamon - Lionel Quick.wav,disco
disco.00163.wav,ES_Those Stockholm Streets - Neon One.wav,disco
disco.00164.wav,ES_Those Vinyl Nights - The New Fools.wav,disco
disco.00165.wav,ES_Thru the Walls - Elliot Holmes.wav,disco
disco.00166.wav,ES_Tiny Fast Vehicle - Magnofield.wav,disco
disco.00167.wav,ES_Titan - Lupus Nocte.wav,disco
disco.00168.wav,ES_Too Hot to Hang Out - Wanda Shakes.wav,disco
disco.00169.wav,ES_Too Late to Meet Up (Instrumental Version) - House Of Say.wav,disco
disco.00170.wav,ES_Too Late to Meet Up - House Of Say.wav,disco
disco.00171.wav,ES_Track Day - Ambre Jaune.wav,disco
disco.00172.wav,ES_Traffic Jammin' - Neon One.wav,disco
disco.00173.wav,ES_Tribute 2001 - SOOP.wav,disco
disco.00174.wav,ES_Uncomplicated - Brendon Moeller.wav,disco
disco.00175.wav,ES_Undercover Departure - Radio Night.wav,disco
disco.00176.wav,ES_Unholy Delights - Dye O.wav,disco
disco.00177.wav,ES_Velocity - Eight Bits.wav,disco
disco.00178.wav,ES_VHS Hero - Lofive.wav,disco
disco.00179.wav,ES_Wait No More - NIGHTCAP.wav,disco
disco.00180.wav,ES_Waiting for U - Tomas Skyldeberg.wav,disco
disco.00181.wav,ES_Wanna Level Up - Vincent Vega.wav,disco
disco.00182.wav,ES_We Are Not Alright - House Of Say (1).wav,disco
disco.00183.wav,ES_We Are Not Alright - House Of Say.wav,disco
disco.00184.wav,ES_We Gotta Be Funkin' - Wanda Shakes.wav,disco
disco.00185.wav,ES_We Keep Shouting - Marc Torch.wav,disco
