filename,orgname,label
metal.00100.wav,ES_Like Brand New - Deathkite.wav,metal
metal.00101.wav,ES_Like Crying Mothers - Off Cuts.wav,metal
metal.00102.wav,ES_Longing for Numbness - Deathkite.wav,metal
metal.00103.wav,ES_Longing for the Now - Off Cuts.wav,metal
metal.00104.wav,ES_Lovers of Medici - Deathkite.wav,metal
metal.00105.wav,ES_Make Me Crash - Rockin' For Decades.wav,metal
metal.00106.wav,ES_Make Them Mine - Off Cuts.wav,metal
metal.00107.wav,ES_Man Among Wolves - Three-Armed Scissor .wav,metal
metal.00108.wav,"ES_Medusa, Queen of Stone - Vilhelm Hass.wav",metal
metal.00109.wav,ES_Mercy at My Feet - Deathkite.wav,metal
metal.00110.wav,ES_Metalhead - Off Cuts.wav,metal
metal.00111.wav,ES_Metallic Disposition - Deaf Election.wav,metal
metal.00112.wav,"ES_Misery, Killing Me (Instrumental Version) - No Sons of Mine.wav",metal
metal.00113.wav,"ES_Misery, Killing Me - No Sons of Mine.wav",metal
metal.00114.wav,ES_Moshpit Madness - Sightless in Shadow.wav,metal
metal.00115.wav,ES_Mudcrawler - They Fall.wav,metal
metal.00116.wav,ES_Mudrunner - Vilhelm Hass.wav,metal
metal.00117.wav,ES_My Flesh Yearns for Pain - Off Cuts.wav,metal
metal.00118.wav,ES_My Mother Raised a Fool - Deathkite.wav,metal
metal.00119.wav,ES_My Soulless Core - Deathkite.wav,metal
metal.00120.wav,ES_Never Get to Me - Deaf Election.wav,metal
metal.00121.wav,ES_Never Return - Carvings.wav,metal
metal.00122.wav,ES_Nightmare of Defeat - Three-Armed Scissor .wav,metal
metal.00123.wav,ES_Nosebleed Section - Sightless in Shadow.wav,metal
metal.00124.wav,ES_Not Meant to Strive (Instrumental Version) - No Sons of Mine.wav,metal
metal.00125.wav,ES_Not Meant to Strive - No Sons of Mine.wav,metal
metal.00126.wav,ES_Off Guard - Edgar Hopp.wav,metal
metal.00127.wav,ES_On the Death Star - Off Cuts.wav,metal
metal.00128.wav,ES_Our Two Horizons - Off Cuts.wav,metal
metal.00129.wav,ES_Penalties Ahead - Off Cuts.wav,metal
metal.00130.wav,ES_Personal Vendetta - Edgar Hopp.wav,metal
metal.00131.wav,ES_Poisoned Blade - Sightless in Shadow.wav,metal
metal.00132.wav,ES_Poisonous Bites - Off Cuts.wav,metal
metal.00133.wav,ES_Preying on Prayers - They Fall.wav,metal
metal.00134.wav,ES_Punch Me Back - Deathkite.wav,metal
metal.00135.wav,ES_Reign of Evil - Deathkite.wav,metal
metal.00136.wav,ES_Remaining Evil - Deathkite.wav,metal
metal.00137.wav,ES_Riding the Storm - Deaf Election.wav,metal
metal.00138.wav,ES_Riot Pulse - Deaf Election.wav,metal
metal.00139.wav,ES_Rise Before Tomorrow - Deaf Election.wav,metal
