filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
reggae.00100.wav,661500,0.402946,0.096668,0.20733,0.013544,1905.533,871369.3,2009.762,328601.8,3822.902,3515291,0.087837,0.004448,2.78E-06,0.031851,-0.00023,0.014923,143.5547,-114.407,7268.773,114.7557,2010.983,-21.502,587.5966,18.60055,212.3132,4.001795,215.6913,17.16027,204.7388,0.507987,129.5515,6.158926,118.053,-4.7486,119.9818,1.898097,82.9763,1.218525,71.35133,2.328146,45.39714,-3.11131,69.41134,2.007679,62.36158,-5.90623,46.20895,0.679486,45.88435,-1.66072,67.65801,-0.82568,51.93985,-2.80775,59.93663,1.64199,45.41948,reggae
reggae.00101.wav,661500,0.391015,0.087301,0.284411,0.014572,1762.097,480750.3,2068.788,231970.6,3668.686,2609199,0.068227,0.001784,8.80E-06,0.05427,-0.00011,0.019963,95.70313,-61.257,5016.95,117.7686,1105.388,-12.1666,562.3425,20.82487,196.3272,0.587022,216.3654,10.09057,157.8465,-4.14534,132.0361,5.608926,102.4719,2.594735,101.7478,5.732103,88.74211,-0.0051,76.46582,4.676294,79.58798,-3.91582,67.46389,-0.36606,62.25963,-5.40498,67.50215,2.936424,46.73657,0.987195,54.09943,3.698665,47.3027,-2.22389,57.2916,0.754654,65.43378,reggae
reggae.00102.wav,661500,0.478956,0.081301,0.169071,0.008226,2220.939,814366.8,2270.731,276731,4632.472,3103394,0.09991,0.00497,3.27E-07,0.019621,6.81E-05,0.008114,143.5547,-106.468,7850.88,90.3773,1210.545,-17.9493,633.2471,33.12193,381.7875,3.877337,181.7446,13.80819,181.5675,9.264701,137.4524,16.3326,102.0102,0.680864,73.37569,7.673877,60.94346,3.665135,54.40677,7.397552,60.70435,-1.06461,58.1273,2.319751,45.96923,-2.40253,32.25143,1.045099,29.83068,0.721759,35.92148,4.000588,38.16961,0.053687,31.13076,4.733742,33.08624,reggae
reggae.00103.wav,661500,0.413517,0.082424,0.237848,0.012477,1547.099,465328.4,1874.676,531514.5,3326.555,2937592,0.061982,0.000918,-4.47E-07,0.036227,0.000195,0.015092,135.9992,-96.5478,11788.64,132.8093,1456.96,-1.40053,823.8836,19.08569,364.2493,2.322608,140.3595,18.90521,137.6473,4.360669,61.81176,4.360528,141.8328,-1.28637,64.88746,3.807102,55.5037,0.214452,41.0897,0.788777,69.20333,-0.12863,59.13458,5.16222,48.82538,-3.89106,39.70374,2.447636,33.36629,1.934952,42.48996,6.081137,54.36469,-6.89639,48.50655,-9.07308,123.9473,reggae
reggae.00104.wav,661500,0.367805,0.085417,0.290551,0.005249,1625.48,347834.6,2094.552,309834.8,3415.596,2880637,0.060716,0.00069,1.55E-05,0.060048,0.000206,0.011433,151.9991,-59.0366,3235.783,131.2587,1159.276,-2.44748,619.3505,8.228313,230.9596,-1.58588,179.5849,9.438389,208.9573,4.406171,198.9699,5.905506,181.796,7.954343,141.6556,5.617826,103.0663,7.68248,100.1842,5.552159,56.08117,1.197723,55.86075,4.000696,61.24882,-1.33683,71.11642,1.790465,49.94083,-3.88254,42.8153,0.826835,50.92948,-2.79582,69.97681,1.257379,61.11816,reggae
reggae.00105.wav,661500,0.378618,0.089726,0.23682,0.007444,2059.044,902478.5,2362.02,335654.8,4579.264,4417435,0.076154,0.003029,-7.07E-07,0.031216,-1.43E-05,0.01817,143.5547,-91.6339,6478.873,100.292,1586.36,12.65499,694.5761,22.12732,301.4955,-4.76734,133.681,17.95185,238.4139,-1.17962,120.2201,11.88618,119.8665,0.370555,78.08251,6.264674,91.35291,-5.50907,60.81256,2.095399,68.09051,-3.59082,112.892,3.798641,93.69735,0.397804,109.1586,2.929608,125.2132,-0.16537,98.91145,-3.52437,138.9086,2.715203,93.46459,3.539931,81.95619,reggae
reggae.00106.wav,661500,0.39083,0.088782,0.174984,0.007349,2503.902,831991,2541.292,215642.8,5292.835,3209600,0.113746,0.006579,-1.32E-05,0.025921,-0.00028,0.005736,151.9991,-90.811,6461.004,80.09287,1225.31,1.285519,471.2012,25.59648,381.9492,-0.56048,150.5392,10.04718,154.9,-4.8055,118.4542,3.651341,122.8037,1.659709,75.67442,5.241715,81.24171,-1.31702,64.28667,3.002065,67.72768,1.89536,65.83743,5.803963,59.73186,-0.06022,50.73989,4.09346,56.18501,0.522571,38.42022,5.522132,38.43427,-0.18731,45.04258,4.884631,67.09448,reggae
reggae.00107.wav,661500,0.395523,0.086324,0.312894,0.007772,1913.29,574328.9,2177.366,278569.6,4016.976,2968813,0.070393,0.001865,3.55E-07,0.072057,5.43E-05,0.013407,161.499,-48.594,5291.486,108.0029,1365.606,-4.6801,556.9951,31.12982,217.3703,3.540295,144.2368,16.60298,263.8852,-0.9011,142.3522,1.759072,148.1765,3.876017,138.8025,9.442181,58.29913,0.052279,53.4484,6.715772,58.4302,-2.91101,53.34299,3.037304,44.20094,1.878333,39.14387,6.636944,50.50394,-1.74557,46.7291,-0.31736,34.65548,-2.44426,37.12188,1.918762,35.45865,reggae
reggae.00108.wav,661500,0.39438,0.092257,0.244335,0.00703,2070.577,586187.8,2222.138,282517.1,4294.932,2867565,0.081082,0.002069,-1.02E-06,0.044997,1.38E-05,0.010673,103.3594,-74.5247,4530.415,98.30856,1159.784,-22.8906,469.6851,20.96144,204.926,2.210086,202.8649,18.26122,121.6974,9.043587,150.5934,14.47701,80.1131,8.219156,94.75416,6.173981,47.49247,3.38119,63.37146,5.360259,68.60612,4.465445,59.81303,3.890029,57.71746,-3.99012,55.07155,2.843632,42.46462,-0.45725,50.50834,4.600237,63.59193,-1.30639,48.96665,0.958738,75.67618,reggae
reggae.00109.wav,661500,0.413627,0.097018,0.196566,0.009029,2801.352,534250.4,2951.281,118856.2,6474.736,1710151,0.089964,0.004464,-1.88E-05,0.027632,4.79E-05,0.009615,92.28516,-101.296,7369.68,57.5434,288.845,12.23386,626.3185,28.97039,182.2794,22.53248,299.4607,25.79421,238.0942,7.565777,97.28217,9.380265,79.67397,-5.35921,66.56564,1.922116,84.66272,2.741965,55.56372,5.946917,50.31369,1.086552,54.22139,5.863701,34.47817,-1.58831,45.8766,-2.06561,46.23255,-3.96059,44.00441,1.5373,28.30475,-6.68829,34.01563,-3.2579,27.04009,reggae
