filename,orgname,label
country.00100.wav,ES_25 Minutes - Roots and Recognition.wav,country
country.00101.wav,ES_A Country Sunset - Constellate.wav,country
country.00102.wav,ES_A Heart Like Yours - Easy Wheelers.wav,country
country.00103.wav,ES_A Pale Horse - Wilsohn.wav,country
country.00104.wav,ES_A Place Where I Belong - Mid Knight.wav,country
country.00105.wav,ES_A Strong Mind - Mica Emory.wav,country
country.00106.wav,ES_After the Hee-Haws - Piper Ezz.wav,country
country.00107.wav,ES_Ain't Messin' Around - Will Harrison.wav,country
country.00108.wav,ES_Ain't No Thing - Mid Knight.wav,country
country.00109.wav,ES_All Is Easy with a Friend - J.F. Gloss.wav,country
country.00110.wav,ES_Amarillo Road - Heyday Highway.wav,country
country.00111.wav,ES_At the Creek - Codey Randall.wav,country
country.00112.wav,ES_Backwoods Burner - Roy Edwin Williams.wav,country
country.00113.wav,ES_Bar Next Door - John and the Land of Plenty.wav,country
country.00114.wav,ES_Blood on the Rails - American Legion.wav,country
country.00115.wav,ES_Bluegrass Bean - The Undertowns.wav,country
country.00116.wav,ES_Bluegrass Boogie - The Undertowns.wav,country
country.00117.wav,ES_Bread and Butter - Lindsey Abraham.wav,country
country.00118.wav,ES_By and By - Nashional.wav,country
country.00119.wav,ES_By the Fire - George's Town.wav,country
country.00120.wav,ES_Bye for Now - Roots and Recognition.wav,country
country.00121.wav,ES_Can't Save You - Codey Randall.wav,country
country.00122.wav,ES_Can't See the Trees - Codey Randall.wav,country
country.00123.wav,ES_Carry My Burden - River Run Dry.wav,country
country.00124.wav,ES_Chasing Goonies - Alek Bluntz.wav,country
country.00125.wav,ES_Chasing That Rainbow - River Run Dry.wav,country
country.00126.wav,ES_Chicken Truck Race - Heyday Highway.wav,country
country.00127.wav,ES_Christmas Will Be Only You and Me - Nashional.wav,country
country.00128.wav,ES_Climbing the Walls - Roy Edwin Williams.wav,country
country.00129.wav,ES_Coal Miner's Reel - River Run Dry.wav,country
country.00130.wav,ES_Coconut Cowboy - Roy Williams.wav,country
country.00131.wav,ES_Collard Greens and Grease - American Legion.wav,country
country.00132.wav,ES_Cookies and Candy - J.F. Gloss.wav,country
country.00133.wav,ES_Cool Rootsie Dobros - Codey Randall.wav,country
country.00134.wav,ES_Countrypolitan - Roy Edwin Williams.wav,country
country.00135.wav,ES_Cowboy on the Run - Codey Randall.wav,country
country.00136.wav,ES_Coyote - Wilsohn.wav,country
country.00137.wav,ES_Cracks in the Pavement - River Run Dry.wav,country
country.00138.wav,ES_Daddy Pay Cash - River Run Dry.wav,country
country.00139.wav,ES_Dear Anne - Eric Feinberg.wav,country
country.00140.wav,ES_Don't Be Lonely - John and the Land of Plenty.wav,country
country.00141.wav,ES_Down the Watering Hole - Nicky Dowling.wav,country
country.00142.wav,ES_Drown Me in a Whiskey Glass - American Legion.wav,country
country.00143.wav,ES_End of the Day - Robson Carver.wav,country
country.00144.wav,ES_Ended Up in a Ditch - Benjamin Kling.wav,country
country.00145.wav,ES_Everyone Was Wrong - Bireli Snow.wav,country
country.00146.wav,ES_Excuse Us - Brett Gregory.wav,country
country.00147.wav,ES_Fiddler's Barn - Hunter Quinn.wav,country
country.00148.wav,ES_Flaming Eightballs - The Best Ofs.wav,country
country.00149.wav,ES_For the Good Times - Easy Wheelers.wav,country
country.00150.wav,ES_Freewheeling - Lindsey Abraham.wav,country
country.00151.wav,ES_Friends and Family - Brett Gregory.wav,country
country.00152.wav,ES_From Now Onwards - Mid Knight.wav,country
country.00153.wav,ES_Full Moon Rag - Roy Williams.wav,country
country.00154.wav,ES_Get My Point - Codey Randall.wav,country
country.00155.wav,ES_Goodbye Memory Lane - Arch Tremors.wav,country
country.00156.wav,ES_Got a New Low - Easy Wheelers.wav,country
country.00157.wav,ES_Gotta Give Me Something - River Run Dry.wav,country
country.00158.wav,ES_Gravity Surge - Roy Edwin Williams.wav,country
country.00159.wav,ES_Grew Up Here - River Run Dry.wav,country
country.00160.wav,ES_Ground Up - Codey Randall.wav,country
country.00161.wav,ES_Gutter Gator - Benjamin Kling.wav,country
country.00162.wav,ES_Happy Cows - J.F. Gloss.wav,country
country.00163.wav,ES_Harvest Month - River Run Dry.wav,country
country.00164.wav,ES_Hello Dear Santa - Nashional.wav,country
country.00165.wav,ES_Here's My Number - River Run Dry.wav,country
