filename,orgname,label
hiphop.00100.wav,ES_Midnight Haze - Jobii.wav,hiphop
hiphop.00101.wav,ES_Mirror Moving - Dylan Sitts.wav,hiphop
hiphop.00102.wav,ES_Moon Lilies - baegel.wav,hiphop
hiphop.00103.wav,ES_More Scrubs - Pandaraps.wav,hiphop
hiphop.00104.wav,ES_Move to Your Flow - Witchitaw Slim.wav,hiphop
hiphop.00105.wav,ES_Never Met Em - Xavy Rusan.wav,hiphop
hiphop.00106.wav,ES_Nice Coat - Dylan Sitts.wav,hiphop
hiphop.00107.wav,ES_No Thank You - Damma Beatz.wav,hiphop
hiphop.00108.wav,ES_Obsessed Pt. 2 - Katori Walker.mp3,hiphop
hiphop.00109.wav,ES_Oceantic - Daniel Fridell.wav,hiphop
hiphop.00110.wav,ES_Only the Real - Iso Indies.wav,hiphop
hiphop.00111.wav,ES_Optimism in a Void - Auxjack.wav,hiphop
hiphop.00112.wav,ES_Oui Hours - Xavy Rusan.wav,hiphop
hiphop.00113.wav,ES_Our Jam - Sam Kramer.wav,hiphop
hiphop.00114.wav,ES_OVAL OFFICE - BLUE STEEL.wav,hiphop
hiphop.00115.wav,ES_Over Time - Tilden Parc.wav,hiphop
hiphop.00116.wav,ES_Overstand - Homebody.wav,hiphop
hiphop.00117.wav,ES_Pandora - The New Fools.wav,hiphop
hiphop.00118.wav,ES_Per Aspera - Auxjack.wav,hiphop
hiphop.00119.wav,ES_Perceptive Perspective - Auxjack.wav,hiphop
hiphop.00120.wav,ES_Play It Smoove - Witchitaw Slim.wav,hiphop
hiphop.00121.wav,ES_PLAY MAKERS - Tilden Parc (1).wav,hiphop
hiphop.00122.wav,ES_PLAY MAKERS - Tilden Parc.wav,hiphop
hiphop.00123.wav,ES_Please (Sister) - Pandaraps.wav,hiphop
hiphop.00124.wav,ES_Pop Chevy - Damma Beatz.wav,hiphop
hiphop.00125.wav,ES_Possession - Dylan Sitts.wav,hiphop
hiphop.00126.wav,ES_Pretty Paper - Tilden Parc.wav,hiphop
hiphop.00127.wav,ES_Pure Spirit (Clean Version) - Tilden Parc.wav,hiphop
hiphop.00128.wav,ES_Pure Spirit (Instrumental Version) - Tilden Parc.wav,hiphop
hiphop.00129.wav,ES_Pure Spirit - Tilden Parc.wav,hiphop
hiphop.00130.wav,ES_R U Down_ - Katori Walker.wav,hiphop
hiphop.00131.wav,ES_RATHER BE ALONE - STRLGHT.wav,hiphop
hiphop.00132.wav,ES_Really Hurts - HATAMITSUNAMI.wav,hiphop
hiphop.00133.wav,ES_Reparations - Iso Indies.wav,hiphop
hiphop.00134.wav,ES_Resale - Dylan Sitts.wav,hiphop
hiphop.00135.wav,ES_Ribs - Xavy Rusan.wav,hiphop
hiphop.00136.wav,ES_Santa Monica - Timothy Infinite.wav,hiphop
hiphop.00137.wav,ES_Sending (Lofi Version) - Hanna Lindgren.wav,hiphop
hiphop.00138.wav,ES_Sicario - DonVayei.wav,hiphop
hiphop.00139.wav,ES_Sidetalk - Damma Beatz.wav,hiphop
hiphop.00140.wav,ES_Sidewaze - Pandaraps.wav,hiphop
hiphop.00141.wav,ES_Sky High - Iso Indies.wav,hiphop
hiphop.00142.wav,ES_Slimulation - Witchitaw Slim.wav,hiphop
hiphop.00143.wav,ES_Snow Day - Dylan Sitts.wav,hiphop
hiphop.00144.wav,ES_Sonata for Solitude - William Claeson.wav,hiphop
hiphop.00145.wav,ES_Sound Mind - Matt Large.wav,hiphop
hiphop.00146.wav,ES_Sour Turn - Pandaraps.wav,hiphop
hiphop.00147.wav,ES_Space Foliage - Auxjack.wav,hiphop
hiphop.00148.wav,ES_Stargaze - Auxjack.wav,hiphop
hiphop.00149.wav,ES_Starlight - Iso Indies.wav,hiphop
hiphop.00150.wav,ES_Stars and Below - Sven Lindvall.wav,hiphop
hiphop.00151.wav,ES_Stasis - Gregory David.wav,hiphop
hiphop.00152.wav,ES_Stolen Valor - Damma Beatz.wav,hiphop
hiphop.00153.wav,ES_Store Credit - Dylan Sitts.wav,hiphop
hiphop.00154.wav,ES_Suited Up - Iso Indies.wav,hiphop
hiphop.00155.wav,ES_Summer Let Down - Superintendent McCupcakes.wav,hiphop
hiphop.00156.wav,ES_Summertime in NY - Nbhd Nick.wav,hiphop
hiphop.00157.wav,ES_Switch Up - Auxjack.wav,hiphop
hiphop.00158.wav,ES_Take Time - Norman Sann.wav,hiphop
hiphop.00159.wav,ES_Tangerine Tambourine - Xavy Rusan.wav,hiphop
hiphop.00160.wav,ES_That's All (Instrumental Version) - Witchitaw Slim.wav,hiphop
hiphop.00161.wav,ES_That's All - Witchitaw Slim.wav,hiphop
hiphop.00162.wav,ES_The Bunker Freestyle - Iso Indies.wav,hiphop
hiphop.00163.wav,ES_The Ends - A P O L L O.wav,hiphop
hiphop.00164.wav,ES_The Main Event - Matt Large.wav,hiphop
hiphop.00165.wav,ES_The Most - Xavy Rusan.wav,hiphop
hiphop.00166.wav,ES_The Quiet Room - Tilden Parc.wav,hiphop
hiphop.00167.wav,ES_There's No Need - HATAMITSUNAMI.wav,hiphop
hiphop.00168.wav,ES_They Know - Nbhd Nick.wav,hiphop
hiphop.00169.wav,ES_Three Four - Jobii.wav,hiphop
hiphop.00170.wav,ES_Thunderous - _91nova.wav,hiphop
hiphop.00171.wav,ES_Time is Ours - Iso Indies.wav,hiphop
hiphop.00172.wav,ES_Too Much for the Smoke - Damma Beatz.wav,hiphop
hiphop.00173.wav,ES_Top Glare - Dusty Decks.wav,hiphop
hiphop.00174.wav,ES_Tricked Out - Ballpoint.wav,hiphop
hiphop.00175.wav,ES_Type Beat - Xavy Rusan.wav,hiphop
hiphop.00176.wav,ES_United We Stand - Damma Beatz.wav,hiphop
hiphop.00177.wav,ES_Until You Go Champagne - Superintendent McCupcakes.wav,hiphop
hiphop.00178.wav,ES_Value Every Moment - Matt Large.wav,hiphop
hiphop.00179.wav,ES_Vanilla Bean - Xavy Rusan.wav,hiphop
hiphop.00180.wav,ES_Vengeance - DonVayei.wav,hiphop
hiphop.00181.wav,"ES_Venice Beach Sunset - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00182.wav,ES_Vintage Velour - Xavy Rusan.wav,hiphop
hiphop.00183.wav,ES_Wam Energy - HATAMITSUNAMI.wav,hiphop
hiphop.00184.wav,ES_Wanna Know - Tilden Parc.wav,hiphop
hiphop.00185.wav,ES_Watch Closely - Iso Indies.wav,hiphop
hiphop.00186.wav,ES_Watch My Back - Katori Walker.wav,hiphop
hiphop.00187.wav,ES_What They Say (Clean Version) - Tilden Parc.wav,hiphop
hiphop.00188.wav,ES_What They Say (Instrumental Version) - Tilden Parc.wav,hiphop
hiphop.00189.wav,ES_Whats on My Mind - Katori Walker.wav,hiphop
hiphop.00190.wav,ES_Wherever U Go - Curli Loxx.wav,hiphop
hiphop.00191.wav,ES_Wine & Spirits - Xavy Rusan.wav,hiphop
hiphop.00192.wav,ES_Winning Pass - Ballpoint.wav,hiphop
hiphop.00193.wav,ES_Woah Woah - Nbhd Nick.wav,hiphop
hiphop.00194.wav,ES_Won't Let You Down - Lawd Ito.wav,hiphop
hiphop.00195.wav,ES_Won't Quit - Iso Indies.wav,hiphop
hiphop.00196.wav,ES_Word Is Bond - Tilden Parc.wav,hiphop
hiphop.00197.wav,ES_Yin & Yang - Iso Indies.wav,hiphop
hiphop.00198.wav,ES_You Cold - Iso Indies.wav,hiphop
hiphop.00199.wav,ES_Young & Paid - Tilden Parc.wav,hiphop
