filename,orgname,label
pop.00100.wav,ES_18 - Loving Caliber.wav,pop
pop.00101.wav,ES_5th Ave - Filthy The Kid.wav,pop
pop.00102.wav,ES_AFTERPARTY - dasloe.wav,pop
pop.00103.wav,ES_Again and Again - Mike Parr.wav,pop
pop.00104.wav,ES_All Night Dance - PW.wav,pop
pop.00105.wav,ES_All the Colors Are Long Gone - OTE.wav,pop
pop.00106.wav,ES_Another Life - Mimmi Bangoura.wav,pop
pop.00107.wav,ES_Autobahn of Love - Andreas Dahlback.wav,pop
pop.00108.wav,ES_Away for Too Long - Torii Wolf.wav,pop
pop.00109.wav,ES_Back to You - In Situ.wav,pop
pop.00110.wav,ES_Bad Things - BLAEKER.wav,pop
pop.00111.wav,ES_BALANCED - Mindserver Unlimited.wav,pop
pop.00112.wav,ES_Be My Anchor - Torii Wolf.wav,pop
pop.00113.wav,ES_Be Nice - spring gang.wav,pop
pop.00114.wav,ES_beat mama's tune - Ingrid Witt.wav,pop
pop.00115.wav,ES_Beautiful (You Don't Know) - JAKE $ING.wav,pop
pop.00116.wav,ES_Been Fighting for Love - Foreland.wav,pop
pop.00117.wav,ES_Best for Me - DAJANA.wav,pop
pop.00118.wav,ES_Better on My Own - SRA.wav,pop
pop.00119.wav,ES_Better Than That - Zorro.wav,pop
pop.00120.wav,ES_Better without Me - Wildflowers.wav,pop
pop.00121.wav,ES_Between the Lines - Elijah N.wav,pop
pop.00122.wav,ES_Bigger Love - Substants.wav,pop
pop.00123.wav,ES_Bittersweet Christmas - Maybe.wav,pop
pop.00124.wav,ES_Blue Mind - Torii Wolf.wav,pop
pop.00125.wav,ES_Blue Smoke - Say3.wav,pop
pop.00126.wav,ES_Born to Be This High - Snake City.wav,pop
pop.00127.wav,ES_Boundless Repetition - Victor Lundberg.wav,pop
pop.00128.wav,ES_Brand New PC - Rocket Jr.wav,pop
pop.00129.wav,ES_Brings Back the Feeling - Daniel Gunnarsson.wav,pop
pop.00130.wav,ES_Bulletproof - Know Tomorrow.wav,pop
pop.00131.wav,ES_Burden - Chris Coral.wav,pop
pop.00132.wav,ES_calling my father - Ingrid Witt.wav,pop
pop.00133.wav,ES_Can't Help It - spring gang.wav,pop
pop.00134.wav,ES_Caught up in a Flood - Sleepaway Camp.wav,pop
pop.00135.wav,ES_Come Around (Be So Lucky) - Torii Wolf.wav,pop
pop.00136.wav,ES_Come By - Bluma Petersen.wav,pop
pop.00137.wav,ES_Couldn't Care Less - Snake City.wav,pop
pop.00138.wav,ES_CRAVING - dasloe.wav,pop
