filename,orgname,label
rock.00100.wav,ES_18 - Loving Caliber.wav,rock
rock.00101.wav,ES_200 Dont's - Conditional.wav,rock
rock.00102.wav,ES_21st Century - Kick Castle.wav,rock
rock.00103.wav,ES_30000 Miles from Home - Of Water.wav,rock
rock.00104.wav,ES_45 Degrees - A Month of Sleep.wav,rock
rock.00105.wav,ES_56 Special - Roy Edwin Williams.wav,rock
rock.00106.wav,ES_6Six6 - Def Lev.wav,rock
rock.00107.wav,ES_A Better Place - Nat Bonham.wav,rock
rock.00108.wav,ES_A Christmas for Everyone - J.F. Gloss.wav,rock
rock.00109.wav,ES_A Dying Star - Marc Torch.wav,rock
rock.00110.wav,ES_A Fond Hope - Isaac Elliott.wav,rock
rock.00111.wav,ES_A Forbidden Smile - Sven Karlsson.wav,rock
rock.00112.wav,ES_A French Breakup - They Fall.wav,rock
rock.00113.wav,ES_A Fresh Start - Earle Belo.wav,rock
rock.00114.wav,ES_A Glimmering Start - Got Happy.wav,rock
rock.00115.wav,ES_A Matter of Time - Got Happy.wav,rock
rock.00116.wav,ES_A Shadow on Wigmore Street - Duke Herrington.wav,rock
rock.00117.wav,ES_A Sputnik Moment - Aerian.wav,rock
rock.00118.wav,ES_A Walk In Indu Park - TAGE.wav,rock
rock.00119.wav,ES_And So It Begins - Across The Great Valley.wav,rock
rock.00120.wav,ES_Another Mirage - Rockin' For Decades.wav,rock
rock.00121.wav,ES_Anywhere but Here - Easton.wav,rock
rock.00122.wav,ES_Around the Bend - Pip Mondy.wav,rock
rock.00123.wav,ES_Battle of the Guitars - Roy Edwin Williams.wav,rock
rock.00124.wav,ES_Beats & Pieces - Harper Rey.wav,rock
rock.00125.wav,ES_Beaucoup Bucks - Lasse Lyx.wav,rock
rock.00126.wav,ES_Beautiful Awakening - Subliminance.wav,rock
rock.00127.wav,ES_Better Alone - Coma Svensson.wav,rock
rock.00128.wav,ES_Better Than You - Mike Stringer.wav,rock
rock.00129.wav,ES_Beyond Elysium - Wellmess.wav,rock
